SSC,HSC,College_Tier,CGPA,Coding_Languages_Known,DSA,Core_Subject_Knowledge,Internships,Projects,Communication_Level,LeetCode_Solved,CodeForces_Rating,Certificates,Hackathons,Aptitude_Test_Score,Placement
68.7,82.1,1,5.84,4,20.8,5.8,0,1,98.1,460,617,3,3,58.9,No
97.5,54.2,3,6.39,3,2.7,96.9,2,5,47.5,260,1894,1,2,37.5,Yes
86.6,58.1,2,5.89,2,18.1,88.4,0,3,38.3,308,1935,0,2,28.6,Yes
79.9,94.9,3,5.44,1,58.3,92.8,1,4,12.0,78,366,4,0,20.3,No
57.8,80.3,2,5.6,4,42.1,99.5,1,4,97.4,22,44,5,4,76.2,Yes
57.8,50.5,3,7.3,3,89.3,17.4,2,1,2.0,55,1440,5,1,38.7,No
52.9,55.1,2,6.03,2,81.7,39.6,1,0,73.7,299,836,0,4,51.1,No
93.3,83.2,1,6.82,1,34.2,75.8,2,3,76.9,48,178,4,4,49.2,Yes
80.1,50.3,3,7.52,2,25.9,69.6,0,4,24.4,188,1368,5,5,57.7,Yes
85.4,58.0,1,8.45,3,38.0,15.4,2,1,67.2,275,1090,0,0,86.6,Yes
51.0,77.4,2,5.2,1,59.0,81.6,0,4,9.3,194,1961,5,0,98.1,Yes
98.5,84.6,3,9.0,2,26.8,22.4,2,3,25.7,82,455,3,0,40.8,Yes
91.6,82.6,3,8.14,4,62.4,22.4,1,3,78.8,137,808,2,5,82.8,Yes
60.6,61.2,2,5.41,1,40.9,53.7,2,2,86.5,464,1085,2,3,76.5,Yes
59.1,85.6,2,9.37,2,55.2,59.3,1,5,60.8,338,1583,5,4,57.4,Yes
59.2,61.9,2,9.6,3,43.6,58.0,1,5,50.7,248,1098,1,5,95.6,Yes
65.2,66.3,2,5.31,3,29.4,9.1,1,1,15.9,6,1226,4,2,20.0,Yes
76.2,87.3,2,6.38,1,94.8,87.7,1,3,6.3,496,452,4,1,10.9,Yes
71.6,82.5,3,9.03,2,76.4,26.6,0,2,11.8,336,1694,4,3,85.4,No
64.6,92.5,3,8.74,1,14.0,13.0,0,2,22.7,158,857,3,2,43.9,Yes
80.6,82.9,3,5.92,1,86.8,88.9,0,4,34.2,440,282,4,4,84.7,Yes
57.0,78.4,3,6.05,2,48.7,95.6,0,4,38.1,129,1328,2,0,89.3,No
64.6,54.7,1,6.85,2,89.5,86.2,2,2,34.6,272,432,3,4,6.2,Yes
68.3,68.4,2,7.42,4,80.0,81.0,0,4,23.9,318,195,0,5,88.3,Yes
72.8,63.3,1,8.09,2,42.5,65.5,2,3,51.0,111,1724,4,1,44.8,Yes
89.3,62.2,2,6.84,3,2.2,55.1,0,0,82.5,489,920,4,5,51.0,Yes
60.0,98.7,2,7.31,1,26.9,8.7,0,3,28.0,374,1499,0,3,62.7,No
75.7,69.7,3,8.74,1,54.2,40.8,1,2,94.2,279,581,4,3,92.6,Yes
79.6,94.6,2,5.18,3,63.3,37.3,1,2,87.3,90,1574,0,1,1.9,Yes
52.3,81.6,1,6.26,2,25.8,26.0,1,3,16.2,27,224,3,2,47.7,Yes
80.4,89.7,1,8.57,3,13.9,72.3,1,4,78.6,160,712,2,2,68.8,Yes
58.5,75.1,3,9.48,3,83.5,49.6,1,4,57.5,377,1956,0,3,72.3,Yes
53.3,78.8,2,7.56,4,98.4,8.1,0,5,56.7,135,1588,1,3,69.3,Yes
97.4,74.6,1,7.66,3,52.6,22.0,2,2,39.1,270,995,0,0,13.4,Yes
98.3,59.8,1,5.54,1,17.2,68.3,2,1,50.1,364,680,4,2,29.9,Yes
90.4,86.1,3,7.24,3,27.2,7.6,1,5,39.7,54,1744,3,1,35.9,No
65.2,64.0,1,7.66,1,1.8,85.1,0,4,54.0,343,1090,5,2,80.4,No
54.9,51.2,3,6.21,1,91.4,49.5,1,3,62.8,46,1517,3,0,27.9,Yes
84.2,82.3,3,6.35,1,11.8,48.1,0,4,67.4,483,1508,5,5,21.1,No
72.0,58.9,1,6.89,2,57.7,59.2,0,3,53.2,244,36,0,3,95.7,No
56.1,97.0,1,5.1,4,27.4,82.5,0,5,72.1,75,253,2,3,0.9,Yes
74.8,97.7,3,6.61,1,55.4,34.8,1,2,14.1,171,1319,1,0,99.8,Yes
51.7,95.7,2,6.06,1,65.1,67.8,2,4,21.2,207,323,3,1,67.7,Yes
95.5,68.5,2,6.64,2,83.0,56.6,1,3,81.9,379,511,4,3,82.8,Yes
62.9,50.8,3,5.6,1,20.6,26.7,1,2,32.3,372,1893,5,4,29.5,No
83.1,96.4,3,9.45,3,1.1,87.9,1,1,2.3,306,1120,4,3,1.4,No
65.6,71.4,3,7.97,3,13.7,79.7,0,3,15.4,53,1501,2,4,73.8,No
76.0,98.3,3,8.4,4,90.0,65.8,1,5,22.4,76,1116,5,0,83.4,Yes
77.3,98.2,2,8.95,1,87.4,85.1,2,1,95.7,47,1105,3,0,74.0,Yes
59.2,92.7,1,7.49,2,59.7,86.7,0,1,57.3,289,188,0,3,14.3,No
98.5,64.7,3,5.43,3,60.1,70.8,2,0,93.3,439,687,4,2,75.3,Yes
88.8,69.3,2,7.69,2,66.5,83.7,1,4,57.5,217,565,2,4,76.9,Yes
97.0,92.6,2,7.93,2,17.5,69.7,1,3,47.9,80,781,3,1,65.9,Yes
94.7,65.8,3,8.73,3,91.4,68.0,1,1,31.4,279,1597,3,3,76.6,Yes
79.9,58.5,1,7.16,2,41.9,61.9,1,0,60.6,406,744,3,1,84.6,No
96.1,77.8,2,5.64,3,38.3,75.3,2,5,13.9,371,903,3,3,61.4,Yes
54.4,96.8,1,6.42,2,51.9,15.9,2,2,89.8,441,795,5,2,8.9,Yes
59.8,84.8,2,6.82,3,4.7,88.1,1,3,82.9,139,187,3,2,48.8,Yes
52.3,78.5,1,8.23,1,16.6,87.2,0,1,31.8,97,882,4,2,7.8,No
66.3,54.9,1,7.85,4,73.8,2.9,1,4,95.3,440,391,2,5,40.8,Yes
69.4,80.8,1,6.78,3,8.3,82.6,2,0,82.5,329,373,5,2,40.7,Yes
63.6,99.5,2,9.93,3,60.3,12.9,0,1,66.6,155,188,3,0,6.6,No
91.4,57.0,3,8.03,4,24.5,33.5,1,4,12.2,371,713,1,0,34.9,No
67.8,75.9,2,6.19,3,38.9,74.4,1,1,47.8,408,1515,1,5,11.1,Yes
64.0,93.9,3,5.51,3,28.9,16.1,1,3,50.6,307,553,2,4,80.8,No
77.1,87.0,2,5.76,2,35.6,81.8,0,3,23.3,344,625,0,1,94.8,Yes
57.0,84.9,2,6.23,4,71.9,83.2,1,3,8.0,188,1285,0,3,7.2,No
90.1,85.1,3,5.8,1,29.7,50.7,2,5,77.7,269,392,5,3,95.5,Yes
53.7,68.0,2,5.93,3,56.6,0.6,0,5,12.2,262,1794,5,5,52.3,No
99.3,64.7,3,6.43,4,47.6,28.7,0,0,59.4,424,1040,5,0,30.0,No
88.6,90.5,1,5.87,2,66.4,61.7,2,3,93.6,420,895,0,3,7.7,Yes
59.9,90.5,3,9.48,1,93.7,98.1,0,4,87.6,416,1116,1,0,50.1,Yes
50.3,93.4,1,5.4,4,73.3,63.2,2,1,27.8,6,332,0,4,79.5,Yes
90.8,95.7,3,7.62,1,21.5,26.0,1,2,85.1,375,1227,4,1,70.7,No
85.3,75.6,2,7.05,1,3.1,63.4,0,4,0.0,379,726,3,4,5.0,No
86.5,75.1,3,9.91,1,26.2,54.0,2,5,1.8,339,1794,5,5,7.3,Yes
88.6,89.9,1,5.56,3,59.5,78.0,1,5,60.3,378,338,1,2,40.3,Yes
53.7,82.5,2,6.99,3,5.1,10.7,1,4,36.5,421,1014,2,2,29.5,Yes
67.9,85.1,3,9.85,2,49.6,76.1,1,5,38.6,235,1196,2,2,23.2,Yes
55.8,89.8,2,9.33,2,59.7,54.1,1,3,56.4,251,67,3,4,28.1,Yes
93.2,94.5,2,9.09,4,33.4,96.3,0,0,19.2,62,727,1,3,80.3,Yes
81.2,66.9,3,6.29,2,77.1,34.2,1,1,21.2,193,1465,0,1,92.9,No
66.5,68.8,2,5.85,1,10.7,63.3,2,0,48.5,322,1641,0,2,40.5,Yes
53.2,54.7,2,8.34,1,7.5,93.2,0,1,75.4,390,626,4,5,90.6,No
65.5,78.9,2,9.65,3,72.8,10.3,1,1,61.9,109,1597,4,5,32.1,Yes
66.3,51.8,3,7.78,1,49.5,93.7,0,0,29.7,69,1936,0,2,47.6,No
86.5,73.3,1,7.86,4,68.8,68.8,1,4,43.0,332,1714,2,2,22.6,Yes
81.9,77.1,2,6.4,1,43.5,6.8,0,1,17.1,1,235,5,1,64.0,No
94.4,64.3,3,8.85,1,24.6,30.1,2,0,7.5,89,1479,2,2,97.9,No
73.6,79.5,3,5.94,4,81.9,70.8,1,1,78.3,15,639,4,1,60.3,Yes
56.0,51.5,2,6.62,2,79.9,6.7,0,2,26.5,83,1977,3,5,35.8,No
85.7,51.9,2,7.13,2,69.5,58.2,0,4,17.8,91,971,0,2,64.8,Yes
88.0,91.1,2,7.54,4,27.2,34.6,0,3,69.2,194,245,4,4,12.3,No
78.1,68.0,1,6.21,3,59.0,62.1,1,1,61.8,201,1450,4,4,88.9,Yes
88.5,56.4,2,5.57,1,36.1,4.6,0,2,63.3,437,646,5,5,50.3,No
74.7,76.1,2,8.05,4,9.2,87.2,2,3,22.9,255,1994,0,1,44.9,No
76.1,88.5,2,6.44,1,91.7,97.3,1,3,23.3,362,1960,5,4,58.6,Yes
71.4,60.8,1,7.91,3,13.7,96.9,0,1,22.1,52,1312,0,1,62.5,No
51.3,81.1,3,5.77,1,95.0,75.0,1,0,17.4,113,260,5,4,7.2,No
55.4,54.3,3,7.41,4,44.6,13.0,1,1,65.6,351,1374,2,4,68.3,No
51.6,52.6,3,7.66,1,18.5,75.8,0,2,84.8,26,186,3,1,24.2,No
81.8,76.6,2,5.26,2,54.2,2.5,0,3,72.4,243,59,3,3,71.4,No
65.7,77.0,2,6.68,3,87.3,2.2,0,1,79.2,300,1646,0,4,82.3,Yes
75.4,81.9,3,5.67,3,73.2,32.4,1,0,40.5,301,420,1,2,80.4,Yes
95.4,86.3,3,5.32,3,80.7,48.9,1,1,65.4,11,758,4,5,55.3,Yes
62.5,98.8,1,9.95,4,65.9,77.0,1,4,35.4,161,1947,4,3,52.0,Yes
70.5,75.8,3,6.61,3,69.2,68.3,2,0,52.6,318,674,0,1,14.3,Yes
87.8,66.1,3,9.05,2,84.9,44.6,2,2,48.2,74,593,5,3,77.5,No
61.4,89.8,3,6.27,4,25.0,27.4,1,3,17.7,348,1836,1,0,27.1,Yes
53.8,63.5,3,8.41,2,48.9,99.7,2,1,38.7,373,221,2,0,49.7,Yes
64.5,71.9,2,8.8,1,22.1,42.6,0,0,96.4,491,1519,5,4,28.4,No
58.1,53.9,2,7.98,1,98.8,45.1,0,4,24.9,105,1976,5,4,13.4,Yes
96.5,51.3,3,7.36,1,94.4,16.4,0,0,13.4,413,1803,0,2,63.0,No
90.4,98.1,3,7.06,1,3.9,79.5,0,5,41.9,260,1303,0,5,5.4,No
81.7,91.8,1,6.74,2,70.6,69.4,1,4,79.0,187,628,4,3,74.9,Yes
93.6,84.8,1,9.65,4,92.5,22.1,2,2,58.2,61,509,0,0,31.8,Yes
90.2,70.4,2,9.15,4,18.1,8.2,0,3,68.1,368,1639,0,4,0.0,Yes
59.3,58.7,3,9.83,3,56.8,68.0,0,2,19.0,118,1760,0,5,51.1,Yes
94.6,57.8,3,5.62,2,91.5,65.5,1,1,61.9,186,1051,4,3,4.7,Yes
77.0,62.5,1,8.65,1,3.4,27.3,2,0,32.4,31,489,2,4,27.6,Yes
90.4,77.5,2,9.69,2,69.7,95.1,0,5,83.4,401,226,2,4,70.7,Yes
94.8,85.7,2,5.91,3,29.7,15.1,1,4,62.9,383,174,0,0,6.3,No
65.9,83.0,3,5.33,3,92.4,43.2,0,4,19.9,367,1438,4,0,83.9,Yes
55.5,64.0,3,8.71,2,97.1,94.4,0,0,6.5,150,840,2,4,0.4,No
61.4,97.7,3,7.87,2,94.4,42.0,2,5,4.3,87,1811,5,1,24.7,Yes
71.4,86.9,2,9.21,2,47.4,63.9,2,0,37.1,319,1479,2,4,74.1,Yes
90.9,77.7,2,5.7,4,86.2,39.8,0,1,26.6,248,383,2,5,31.6,Yes
93.0,80.6,2,8.98,1,84.5,27.4,2,2,64.6,89,1228,4,4,10.2,Yes
50.3,71.0,1,6.01,2,31.9,98.4,1,4,49.9,343,871,5,2,36.0,Yes
